product_name
Alnatura Bio Marzipan Riegel Zartbitter 40G 
Balisto Korn 8ST 148G 
Balisto Müsli 8ST 148G 
Balisto Yoberry 8ST 148G 
Celebrations 186G 
"duplo 18ST 327,6g "
Duplo Original 10ST 182G 
"Ferrero Hanuta Riegel Milch & Nuss 5ST 172,5G "
Ferrero Kinder Bueno 10ST 215G 
Ferrero Pocket Coffee 225G 
Ferrero Yogurette Erdbeere 8ST 100G 
"Kinder Country 9ST 211,5G "
Kinder Riegel 10ST 210G 
Kinder Riegel Big Pack 18ST 378G 
Kinder Schokolade 8ST 100G 
KitKat 4ST 166G 
KitKat Chunky 4ST 160G 
Knoppers Erdnuss Riegel 5ST 200G 
Knoppers Kokos Riegel 5ST 200G 
Knoppers Milch-Haselnuss-Schnitte 8ST 200G 
Knoppers Minis 200G 
Knoppers Nuss Riegel 5ST 200G 
Mars Protein Riegel 50G 
"Milka Nussini 5ST 157,5G "
Nestle Lion Choco Snack Size 5ST 150G 
Nestlé Nesquik Mini Bag 175G 
Nestlé Nuts 5ST 150G 
Ritter Sport Schokowuerfel Dankeschön 176G 
Snickers Protein Riegel 47G 
YFood Riegel Brownie & Roasted Nuts 60G 
